epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1319.89,0.38982,0.32272,1.04374,0.84831,0.8088,0.8666,0.54762,1.44225,1.12157,2.6292,0.0090199,0.0090199,0.0090199
101,1332.71,0.39339,0.32392,1.05134,0.80349,0.8726,0.85298,0.54935,1.40189,0.96136,2.46738,0.00901,0.00901,0.00901
102,1345.63,0.39372,0.32027,1.05213,0.87066,0.87255,0.91102,0.56653,1.39278,0.88083,2.51566,0.0090001,0.0090001,0.0090001
103,1358.43,0.38987,0.31762,1.05563,0.88245,0.90556,0.90842,0.58388,1.35127,0.88156,2.48636,0.0089902,0.0089902,0.0089902
104,1371.6,0.37639,0.32155,1.04042,0.86202,0.8186,0.92511,0.58562,1.39562,0.88773,2.62611,0.0089803,0.0089803,0.0089803
105,1384.43,0.38851,0.32539,1.05326,0.87114,0.86038,0.89907,0.57075,1.44303,1.068,2.69332,0.0089704,0.0089704,0.0089704
106,1397.25,0.37509,0.32111,1.04143,0.87557,0.84028,0.89653,0.54988,1.46291,0.91951,2.70866,0.0089605,0.0089605,0.0089605
107,1410.15,0.38975,0.32442,1.04255,0.85291,0.90176,0.90436,0.5621,1.45412,1.01549,2.65174,0.0089506,0.0089506,0.0089506
108,1422.99,0.37899,0.31549,1.04226,0.84734,0.88333,0.90759,0.56897,1.41355,0.84163,2.5827,0.0089407,0.0089407,0.0089407
109,1435.78,0.36802,0.3084,1.02844,0.86337,0.91854,0.9227,0.59293,1.38736,0.83071,2.59537,0.0089308,0.0089308,0.0089308
110,1448.67,0.38154,0.3155,1.03746,0.86886,0.90139,0.93109,0.59008,1.37358,0.83918,2.44876,0.0089209,0.0089209,0.0089209
111,1461.46,0.37922,0.30927,1.04103,0.86301,0.86742,0.88893,0.5637,1.42624,0.93844,2.53223,0.008911,0.008911,0.008911
112,1474.62,0.37298,0.31576,1.03831,0.84097,0.86051,0.84952,0.53446,1.36525,1.08187,2.49045,0.0089011,0.0089011,0.0089011
113,1487.44,0.36959,0.31128,1.03089,0.91277,0.87174,0.94191,0.61109,1.39399,0.77131,2.63643,0.0088912,0.0088912,0.0088912
114,1500.25,0.37605,0.31356,1.04668,0.83669,0.86376,0.8638,0.56194,1.38192,1.18802,2.49739,0.0088813,0.0088813,0.0088813
115,1513.14,0.36346,0.31085,1.02948,0.74674,0.84709,0.78725,0.50083,1.42819,1.41368,2.75199,0.0088714,0.0088714,0.0088714
116,1525.91,0.36686,0.31264,1.03192,0.82894,0.88616,0.91048,0.56561,1.40586,0.91922,2.5361,0.0088615,0.0088615,0.0088615
117,1538.65,0.36465,0.30704,1.0311,0.88835,0.83233,0.88046,0.55436,1.42741,1.00764,2.53717,0.0088516,0.0088516,0.0088516
118,1551.47,0.3636,0.30776,1.03458,0.9053,0.83993,0.89043,0.56107,1.36627,0.97992,2.52413,0.0088417,0.0088417,0.0088417
119,1564.17,0.36407,0.3016,1.02616,0.85529,0.90496,0.88378,0.54578,1.36279,0.91466,2.47833,0.0088318,0.0088318,0.0088318
120,1577.23,0.37016,0.31158,1.03275,0.8919,0.85943,0.89738,0.55538,1.43707,0.83848,2.60464,0.0088219,0.0088219,0.0088219
121,1590.06,0.3624,0.30988,1.02408,0.81681,0.93276,0.92072,0.605,1.33693,0.88863,2.42217,0.008812,0.008812,0.008812
122,1602.83,0.36589,0.30114,1.02696,0.84917,0.89865,0.9172,0.59304,1.37129,0.92029,2.42287,0.0088021,0.0088021,0.0088021
123,1615.7,0.36075,0.29838,1.03043,0.88219,0.88172,0.91278,0.59147,1.4026,0.90996,2.44986,0.0087922,0.0087922,0.0087922
124,1628.49,0.36754,0.30266,1.03173,0.77157,0.8537,0.83574,0.5249,1.47238,1.15519,2.63605,0.0087823,0.0087823,0.0087823
125,1641.26,0.37615,0.30699,1.04154,0.82274,0.86811,0.8411,0.51863,1.41232,1.07145,2.59944,0.0087724,0.0087724,0.0087724
126,1654.06,0.36491,0.30136,1.03072,0.82193,0.89899,0.87953,0.53601,1.48167,1.00045,2.79692,0.0087625,0.0087625,0.0087625
127,1666.86,0.35709,0.30391,1.03303,0.81023,0.86699,0.83832,0.54376,1.30337,1.10509,2.38101,0.0087526,0.0087526,0.0087526
128,1679.97,0.35894,0.29445,1.02945,0.8406,0.88007,0.87468,0.55654,1.37375,0.94727,2.51569,0.0087427,0.0087427,0.0087427
129,1692.93,0.36061,0.31221,1.02417,0.86011,0.8729,0.88596,0.54792,1.40498,0.91012,2.51902,0.0087328,0.0087328,0.0087328
130,1705.76,0.35985,0.29697,1.02854,0.84062,0.87402,0.8871,0.55754,1.42583,1.02557,2.69969,0.0087229,0.0087229,0.0087229
131,1718.61,0.36499,0.30852,1.02894,0.81054,0.88829,0.87726,0.56481,1.40526,0.91829,2.53978,0.008713,0.008713,0.008713
132,1731.45,0.35206,0.30065,1.02273,0.85805,0.85139,0.85426,0.5481,1.37794,1.22334,2.498,0.0087031,0.0087031,0.0087031
133,1744.16,0.34931,0.28855,1.02313,0.86116,0.83482,0.90174,0.59974,1.34015,1.10815,2.47505,0.0086932,0.0086932,0.0086932
134,1757,0.34988,0.30098,1.02665,0.8295,0.83336,0.86702,0.54174,1.48186,1.16444,2.8726,0.0086833,0.0086833,0.0086833
135,1769.81,0.35424,0.30184,1.01749,0.80851,0.87917,0.89129,0.56216,1.39839,1.06824,2.63912,0.0086734,0.0086734,0.0086734
136,1782.66,0.3496,0.29916,1.01598,0.89565,0.90833,0.91701,0.56369,1.40676,0.825,2.6163,0.0086635,0.0086635,0.0086635
137,1795.55,0.3524,0.29678,1.02088,0.91614,0.89243,0.92903,0.5928,1.3777,0.83005,2.59749,0.0086536,0.0086536,0.0086536
138,1808.34,0.34038,0.29205,1.01854,0.87685,0.89028,0.92533,0.58619,1.3878,0.85991,2.55028,0.0086437,0.0086437,0.0086437
139,1821.12,0.35446,0.30074,1.02331,0.85412,0.89444,0.9084,0.5848,1.38943,0.81292,2.65746,0.0086338,0.0086338,0.0086338
140,1833.85,0.34733,0.28913,1.01957,0.86246,0.8549,0.91593,0.58712,1.40792,0.80554,2.54946,0.0086239,0.0086239,0.0086239
